1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
0.000000 1.500000 1.500000
1.500000 0.000000 1.500000
1.500000 1.500000 0.000000
3.042010 2.997559 2.989308 a_B
2.974936 2.028741 2.027164 a_B
2.987637 2.540582 2.475980 a_B
1.968715 2.998421 2.007191 a_A
1.960516 1.969576 1.003351 a_A
2.020864 2.462274 1.483081 a_A
2.499471 3.034237 2.494772 a_C
2.510102 1.957668 1.485595 a_C
2.522507 2.493199 2.007172 a_A
1.984325 2.027761 2.994473 a_A
1.967626 1.036082 1.992144 a_B
2.025477 1.504867 2.535114 a_C
0.992766 1.975668 1.988620 a_A
1.017680 1.000204 1.046459 a_C
1.013811 1.490751 1.483051 a_B
1.474609 2.013345 2.536964 a_A
1.542870 1.012389 1.517293 a_B
1.514222 1.537173 1.973186 a_C
2.484797 2.456946 2.986695 a_B
2.452829 1.490099 1.993307 a_C
2.477525 2.035071 2.478016 a_B
1.537877 2.470754 2.002365 a_C
1.507609 1.498978 0.973863 a_C
1.501245 2.017420 1.475910 a_A
1.996732 2.492820 2.485918 a_B
2.010876 1.534513 1.485549 a_C
1.993467 2.011489 1.960917 a_A
