1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
2.047709 1.989694 0.992164 a_A
2.003274 0.525083 1.512379 a_A
0.464686 2.006727 1.509691 a_A
2.018109 1.998054 2.010642 a_B
1.986995 0.455753 0.480776 a_A
1.986938 1.008250 1.046707 a_A
1.956891 1.501806 1.488243 a_B
0.501829 1.967986 0.515853 a_A
0.488736 0.470055 0.989208 a_A
0.530575 1.023620 1.514889 a_A
0.978741 1.977419 1.021619 a_A
0.973865 0.512503 1.481810 a_B
1.485508 2.002437 1.457102 a_B
2.004198 0.982671 1.960444 a_A
2.009849 1.479254 0.515772 a_B
0.463634 0.487522 1.996277 a_B
0.499718 1.002782 0.546151 a_B
0.475805 1.496981 0.963552 a_B
0.978551 2.016176 1.960170 a_B
1.002756 0.473689 0.538010 a_A
1.013030 1.011105 0.965398 a_B
1.006556 1.478608 1.508974 a_B
1.511528 1.980349 0.520286 a_B
1.528884 0.482932 0.983920 a_B
1.497227 1.047504 1.502785 a_B
0.497867 1.532737 1.972434 a_B
0.991399 1.014243 2.037377 a_A
1.033279 1.521773 0.494650 a_A
1.464062 0.486219 2.023347 a_A
1.523325 0.987662 0.491287 a_A
1.501845 1.450176 0.996413 a_A
1.524813 1.475690 1.985284 a_B
