1,2,5 5 SIGMA_D8B 1500.00 4.48169E-01 4.05312E-01 1.11002E-01 3.55169E-02
1,2,5 5 SIGMA_D8B 1500.00 3.22457E-01 4.06186E-01 8.47839E-02 1.86573E-01
1,2,3,5 5 SIGMA_D8B 1500.00 3.14768E-01 4.06396E-01 8.31122E-02 1.95724E-01
1,2,5 5 SIGMA_D8B 1500.00 4.24604E-01 4.05070E-01 1.06326E-01 6.39996E-02
1,2,5 5 SIGMA_D8B 1500.00 3.33352E-01 4.05916E-01 8.71470E-02 1.73585E-01
1,2,5 5 SIGMA_D8B 1500.00 3.27143E-01 4.06066E-01 8.58013E-02 1.80989E-01

1,2,3,5 5 SIGMA_D8B 1500.00 3.14768E-01 4.06396E-01 8.31122E-02 1.95724E-01
1,3,5 5 SIGMA_D8B 1500.00 3.39732E-01 4.04832E-01 7.16835E-02 1.83753E-01

2,3,5 5 SIGMA_D8B 1500.00 4.34378E-01 4.27523E-01 8.02077E-02 5.78908E-02
2,3,5 5 SIGMA_D8B 1500.00 4.14270E-01 4.22636E-01 8.08174E-02 8.22764E-02
1,2,3,5 5 SIGMA_D8B 1500.00 3.14768E-01 4.06396E-01 8.31122E-02 1.95724E-01
2,3,5 5 SIGMA_D8B 1500.00 4.35045E-01 4.27598E-01 8.02826E-02 5.70746E-02
2,3,5 5 SIGMA_D8B 1500.00 3.32187E-01 4.08493E-01 8.29419E-02 1.76379E-01
2,3,5 5 SIGMA_D8B 1500.00 3.43558E-01 4.09993E-01 8.27817E-02 1.63667E-01

1,4,5 5 SIGMA_D8B 1500.00 4.22510E-01 4.03627E-01 8.70672E-02 8.67953E-02
1,4,5 5 SIGMA_D8B 1500.00 3.80837E-01 4.04527E-01 8.75261E-02 1.27111E-01

2,4,5 5 SIGMA_D8B 1500.00 4.72942E-01 4.20876E-01 9.55160E-02 1.06654E-02
2,4,5 5 SIGMA_D8B 1500.00 4.12270E-01 4.13172E-01 9.16711E-02 8.28865E-02
2,4,5 5 SIGMA_D8B 1500.00 3.53293E-01 4.07169E-01 8.88038E-02 1.50734E-01

1,4,5 5 SIGMA_D8B 1500.00 4.22510E-01 4.03627E-01 8.70672E-02 8.67953E-02
1,5 5 SIGMA_D8B 1500.00 5.96160E-01 3.93391E-01 9.65126E-03 7.97715E-04
1,5 5 SIGMA_D8B 1500.00 6.05635E-01 3.92249E-01 1.43711E-03 6.78965E-04
1,2,5 5 SIGMA_D8B 1500.00 4.48169E-01 4.05312E-01 1.11002E-01 3.55169E-02
1,5 5 SIGMA_D8B 1500.00 4.05275E-01 4.03422E-01 7.95555E-02 1.11748E-01
1,5 5 SIGMA_D8B 1500.00 3.00481E-01 4.03926E-01 3.22712E-02 2.63322E-01
1,2,5 5 SIGMA_D8B 1500.00 3.22457E-01 4.06186E-01 8.47839E-02 1.86573E-01
1,2,3,5 5 SIGMA_D8B 1500.00 3.14768E-01 4.06396E-01 8.31122E-02 1.95724E-01
1,5 5 SIGMA_D8B 1500.00 4.85383E-01 3.98629E-01 4.10706E-02 7.49173E-02
1,2,5 5 SIGMA_D8B 1500.00 4.24604E-01 4.05070E-01 1.06326E-01 6.39996E-02
1,2,5 5 SIGMA_D8B 1500.00 3.33352E-01 4.05916E-01 8.71470E-02 1.73585E-01
1,5 5 SIGMA_D8B 1500.00 4.82915E-01 3.95904E-01 1.17293E-02 1.09451E-01
1,5 5 SIGMA_D8B 1500.00 5.18159E-01 3.99872E-01 5.91040E-02 2.28659E-02
1,2,5 5 SIGMA_D8B 1500.00 3.27143E-01 4.06066E-01 8.58013E-02 1.80989E-01
1,4,5 5 SIGMA_D8B 1500.00 3.80837E-01 4.04527E-01 8.75261E-02 1.27111E-01
1,3,5 5 SIGMA_D8B 1500.00 3.39732E-01 4.04832E-01 7.16835E-02 1.83753E-01
1,5 5 SIGMA_D8B 1500.00 2.97441E-01 4.06104E-01 6.40142E-02 2.32442E-01

2,3,5 5 SIGMA_D8B 1500.00 4.34378E-01 4.27523E-01 8.02077E-02 5.78908E-02
2,4,5 5 SIGMA_D8B 1500.00 4.72942E-01 4.20876E-01 9.55160E-02 1.06654E-02
2,3,5 5 SIGMA_D8B 1500.00 4.14270E-01 4.22636E-01 8.08174E-02 8.22764E-02
2,4,5 5 SIGMA_D8B 1500.00 4.12270E-01 4.13172E-01 9.16711E-02 8.28865E-02
1,2,5 5 SIGMA_D8B 1500.00 4.48169E-01 4.05312E-01 1.11002E-01 3.55169E-02
2,5 5 SIGMA_D8B 1500.00 4.14568E-01 4.23113E-01 8.03747E-02 8.19435E-02
2,4,5 5 SIGMA_D8B 1500.00 3.53293E-01 4.07169E-01 8.88038E-02 1.50734E-01
1,2,5 5 SIGMA_D8B 1500.00 3.22457E-01 4.06186E-01 8.47839E-02 1.86573E-01
1,2,3,5 5 SIGMA_D8B 1500.00 3.14768E-01 4.06396E-01 8.31122E-02 1.95724E-01
1,2,5 5 SIGMA_D8B 1500.00 4.24604E-01 4.05070E-01 1.06326E-01 6.39996E-02
2,3,5 5 SIGMA_D8B 1500.00 4.35045E-01 4.27598E-01 8.02826E-02 5.70746E-02
1,2,5 5 SIGMA_D8B 1500.00 3.33352E-01 4.05916E-01 8.71470E-02 1.73585E-01
2,5 5 SIGMA_D8B 1500.00 4.16147E-01 4.21761E-01 8.21494E-02 7.99425E-02
2,3,5 5 SIGMA_D8B 1500.00 3.32187E-01 4.08493E-01 8.29419E-02 1.76379E-01
1,2,5 5 SIGMA_D8B 1500.00 3.27143E-01 4.06066E-01 8.58013E-02 1.80989E-01
2,3,5 5 SIGMA_D8B 1500.00 3.43558E-01 4.09993E-01 8.27817E-02 1.63667E-01

2,3,5 5 SIGMA_D8B 1500.00 4.34378E-01 4.27523E-01 8.02077E-02 5.78908E-02
3,5 5 SIGMA_D8B 1500.00 5.28663E-01 4.07363E-01 5.00503E-02 1.39235E-02
2,3,5 5 SIGMA_D8B 1500.00 4.14270E-01 4.22636E-01 8.08174E-02 8.22764E-02
