1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.638700
-1.000000 1.000000 -1.000000
1.000000 -1.000000 -1.000000
-3.000000 -3.000000 0.000000
-1.666667 -2.333333 -1.000000 a_A
-2.666667 -1.333333 -1.000000 a_A
-1.666667 -1.333333 -1.000000 a_A
-0.666667 -1.333333 -1.000000 a_B
-1.666667 -0.333333 -1.000000 a_A
-0.666667 -0.333333 -1.000000 a_A
-2.666667 -3.333333 -1.000000 a_A
-3.666667 -2.333333 -1.000000 a_A
-2.666667 -2.333333 -1.000000 a_B
-0.666667 -2.333333 -1.000000 a_A
0.333333 -1.333333 -1.000000 a_A
-1.666667 -3.333333 -1.000000 a_A
-2.333333 -1.666667 -1.500000 a_A
-2.333333 -1.666667 -0.500000 a_A
-1.333333 -1.666667 -0.500000 a_B
-1.333333 -0.666667 -1.500000 a_B
-1.333333 -0.666667 -0.500000 a_A
-0.333333 -0.666667 -0.500000 a_A
-3.333333 -2.666667 -1.500000 a_B
-3.333333 -2.666667 -0.500000 a_A
-2.333333 -2.666667 -0.500000 a_B
-1.333333 -1.666667 -1.500000 a_A
-0.333333 -0.666667 -1.500000 a_A
-2.333333 -2.666667 -1.500000 a_A
-1.666667 -2.333333 -0.875000 b_B
-2.666667 -1.333333 -0.875000 b_B
-1.666667 -1.333333 -0.875000 b_A
-0.666667 -1.333333 -0.875000 b_A
-1.666667 -0.333333 -0.875000 b_A
-0.666667 -0.333333 -0.875000 b_A
-2.666667 -3.333333 -0.875000 b_B
-3.666667 -2.333333 -0.875000 b_B
-2.666667 -2.333333 -0.875000 b_B
-0.666667 -2.333333 -0.875000 b_A
0.333333 -1.333333 -0.875000 b_A
-1.666667 -3.333333 -0.875000 b_B
-2.333333 -1.666667 -1.375000 b_B
-2.333333 -1.666667 -0.375000 b_A
-1.333333 -1.666667 -0.375000 b_B
-1.333333 -0.666667 -1.375000 b_B
-1.333333 -0.666667 -0.375000 b_A
-0.333333 -0.666667 -0.375000 b_A
-3.333333 -2.666667 -1.375000 b_A
-3.333333 -2.666667 -0.375000 b_B
-2.333333 -2.666667 -0.375000 b_A
-1.333333 -1.666667 -1.375000 b_A
-0.333333 -0.666667 -1.375000 b_B
-2.333333 -2.666667 -1.375000 b_B
